Province,Population
Zhejiang ,54426891
Yunnan ,45966239
Xinjiang,21813334
Tibet Autonomous Region ,3002166
Tianjin Municipality ,12938224
Sichuan ,80418200
Shanxi ,35712111
Shanghai Municipality ,23019148
Shandong ,95793065
Shaanxi ,37327378
Qinghai ,5626722
Ningxia,6301350
Liaoning ,43746323
Jilin ,27462297
Jiangxi ,44567475
Jiangsu ,77659903
Inner Mongolia Autonomous Region ,24706321
Hunan ,65683722
Hubei ,57237740
Henan ,94023567
Heilongjiang ,38312224
Hebei ,79854202
Hainan ,8671518
Guizhou ,34746468
Guangxi,46026629
Guangdong ,104303132
Gansu ,25575254
Fujian ,36894216
Chongqing Municipality ,28846170
Beijing Municipality ,19612368
Anhui ,59500510
Hong Kong,7484550
Macau,631636
